ID;A;B;C;D;E;F;G;H;I;J;K;L;M;N;O;P;Q;R;S;T;U;V;W;X;Y;Z
1;Appliance = utensílio;Bespoke = sob medida;Cub = filhote;Diverting = desvio;Endangered = ameaçadas de extinção;Famine = fome;Gathered = coletado(a) / acumulado;Household = doméstico(a);Innate = inato(a);Jaw = mandíbula;Kindergartens = jardins de infância;Livestock = gado;Mistakenly = erroneamente;Nevertheless = no entanto;Ordeal = provação;Police constable = agente de polícia;Quarreled = brigou / discutir / disputar;Rattlesnakes = cascavéis;Shortages = escassez ;Tonnes = toneladas;Under threat = sob ameaça;Venues = Locais;Wheat = trigo;Xylophone = Xilofone;Year-round = durante todo o ano;Zookeepers = tratadores(as)
2;Ash = cinzas;Bark = latido;Crept = rastejou;Disrupted = interrompida(a);Embedded = embutido;Frightened = assustado(a) / amendrontado;Grabbed = agarrou;Hangings = enforcamentos;Issued = publicado(a);Joints = articulações; Knowingly = sabidamente / conscientemente / intencionalmente;Lifespan = vida útil;Make room = criar espaço;Nationwide = nacional;Ostrich = avestruz;Pours = derrama;Quotes = citações ;Rattles = chocalhos;Scarcity = escassez;Trolley = carrinho;Underneath = por baixo;Vest = colete;Ways to cope with stress = maneiras de lidar com o estresse;XL (extra large) = GG / grande;Yacht = iate;Zapped = eletrocutado(a)
3;Awareness = conhecimento;Bore = calibre;Crawled = rastreado(a);Discared = descartado(a);Endurance = resistência;Fine = multar;Guesses = palpites;Hiring = contratando;Inherent = inerente;Jinx = azar / má sorte;Knowledgeable = bem informado;Lungs = pulmões;Masts = mastros;Northwards = para o norte;Offset = deslocamento;Portrayal = retrato;Quagmire = atoleiro / pântano / lamaçal;Reasoning = raciocínio;Soared = subiu;Triggered = provocado(a);Upsurge = surto;Vacuum cleaner = aspirador de pó;Wide net = rede larga;Xmas (Christmas) = natal;Yam = bocejar;Zealot = fanático(a)
4;Ackowledge = reconhecer;Bluff = blefe;Came up = apareceu;Dismantle = desmantelar;Enshrined = consagrado(a);Finnish = finlandês/finlandesa;Glimpse = vislumbre;Hurdle = obstáculo;Income = renda;Journeys = viagens;Keepsake = lembrança / recordação / dádiva;Lasts longer than = dura mais do que;Mesmerized = hipnotizado(a);Net profit = lucro líquido;Outboard = motor de popa;Polls = enquetes;Quake / earthquake = terremoto;Rainforest = floresta tropical;Survey = pesquisa;Tides = marés;Unassisted = sem ajuda / assistência;Vault = cofre;Wither = murchar;Xenial = hospitaleiro(a) / acolhedor;;Zealous = zeloso(a) / fervoroso / dedicado
5;Arid = árido(a);Brother in law = cunhado;Commuters = passageiros(as);"Daylight saving time = 
horário de verão";Engulfed = engolido(a);Float = flutuador(a);Gasps = suspiros;Hut = cabana;Inmates = presos(as);Jackpot = prêmio / bolada;Kitten = gatinho(a);Leans = inclina-se;Maiden name = nome de solteira;Noxious fume = Fumaça nociva;Outbreak = surto;Price gouging = manipulação de preços;Qualify = qualificar / calssificar / beneficiar;Rents = aluguéis;Shorelines = costas;Threatened = ameaçado(a);Upend = derrubar;Vow = juramento / o voto / a promessa;Was stuck = estava preso / estava grudado;;;Zebra crossing = faixa de pedestre / faixa / passadeira
6;Automakers = montadoras;Booming = estrondoso(a);Convoy = comboio;Due to = devido a;Essay = redação;Franchise = franquia;Gasping = ofegante;Has been bashed = foi golpeado;Inequalities = desigualdades;Jaw-dropping = de cair o queixo;Keen = interessado / afiado / mordaz;Lane = faixa;Mischievous = pernicioso(a);Nuclear power plants = Usina nuclear;Ornaments = enfeites;Postponed = adiado(a);Quarantine = quarentena;Roughly = aproximadamente;Stinger devices = dispositivos de ferrão;Trawlers = arrastões;Uninjured = ileso(a);Vessel = navio / receptáculo;Workload = carga de trabalho;;;Zenith = auge / apogeu
7;Aircraft = aeronave;Blood flow = fluxo sanguíneo;Crackdown = repressão;Death threats = ameaças de morte;Erode = corroer;Floods = inundações;Greases = graxas;Harmful = prejudicial;Illness = doença;;Kettle = chaleira;Landfill = aterro;Moisture = umidade;Not washable = não lavável;Outskirts = arredores;Pristine = imaculado(a);Queue = fila;Ribs = costela;Span = período;Taint = manchar;Unmanageable = ingovernável;Vendors = vendedores(as);Well-paid = bem remunerado;;;Zest = entusiasmo / gosto
8;Affordable = acessível;Beverages = bebidas;Crystalline = cristalino;Dizziness = tontura;Encirded = cercado;Fulfill = preencha;Grasp = aperto / entender / a compreensão;Headscarf = lenço de cabeça;Inn = pousada / estalagem / hotel;;;Lawmakers = legisladores(as);Meaningless = sem significado;Nuns = freiras;Owed = devido(a);Packaging = embalagem;Quitter = desistente / molenga / perdedor;Relies = confia;Sparked = provocou;Turkeys = perus;Unflushable = impenetrável;Vial = frasco(a);Wall display = exibição de parede;;;Zigzag = ziguezague
9;Appeals = apelações;Blankets = cobertores;Crystal clear = cristalina;Displace = deslocar;Enclosure = recinto / invólucro;Forecasts = previsões;Grew crops = cultivou colheitas;Harbor = porto;Incontrovertible = incontroverso(a) / incontestável / irrefutável;;;Laborious = trabalhoso(a);Meters a long = metros de comprimento;Newest = o(a) mais novo(a);Ongoing = em progresso / em andamento / contínuo;Praised = elogiado(a);Quiver = tremor;Rows = linhas;Subtle flaws = falhas sutis;Trapped = encurralada(o);Undercount = subconta;Vegetarian = vegetariano;Wide = amplo(a);;;Zucchini = abobrinha
10;Anthem = hino;Bubble wrap = plástico bolha;Cans = latas;Demanding = exigente;Earwax = cera de ouvido;Flies = mosquitos / moscas;Greeted = saudado(a);Homelessness = sem-teto;Ink = tinta;;;Lifelong = vitalício(a);Mistrut = desconfiar;Nuzzing = aninhar-se;Outdoor gatherings = encontros ao ar livre;Poultry = aves;Quote = citar / cotar / indicar;Rowing = remo;Spread = propagação;Thin = afinar;Unwillingly = a contragosto;Vanishing = fuga / que desaparece / sumido;Windshield wipers = limpadores de pára-brisa;;;
